"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Jiang Z.; Ge J.; Zhao K.; Xiao J.","Jiang, Ziling (57384953100); Ge, Jian (48861340600); Zhao, Kang (56482651600); Xiao, Jianya (59936227300)","57384953100; 48861340600; 56482651600; 59936227300","Evaluating the impact of shading from surrounding obstructions on buildings’ net energy in different climates","2026","Energy and Buildings","352","","116777","","","0","10.1016/j.enbuild.2025.116777","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023701013&doi=10.1016%2Fj.enbuild.2025.116777&partnerID=40&md5=02ea4b87c12f0cb0ecda1cb2c6965406","College of Civil Engineering and Architecture, Zhejiang University, Hangzhou, 310028, China","Jiang Z., College of Civil Engineering and Architecture, Zhejiang University, Hangzhou, 310028, China; Ge J., College of Civil Engineering and Architecture, Zhejiang University, Hangzhou, 310028, China; Zhao K., College of Civil Engineering and Architecture, Zhejiang University, Hangzhou, 310028, China; Xiao J., College of Civil Engineering and Architecture, Zhejiang University, Hangzhou, 310028, China","This study proposes an innovative parametric and climate-sensitive framework to evaluate the impact of shading from surrounding buildings on energy performance across climatic zones. A novel, computationally efficient metric quantifying cumulative solar radiation attenuation on building surfaces is proposed. Integrating building energy consumption, photovoltaic (PV) generation, and net energy balance analyses, the framework quantifies how geometric parameters—orientation, distance, angle, height—and their shading effects, revealing consistent patterns across climate zones. Simulations were conducted via Grasshopper and EnergyPlus using batch computing. Results show that south-facing shading significantly increases heating and lighting energy in colder climates, while west-facing shading reduces cooling demands in warmer regions. Notably, the research quantifies how surrounding obstructions affect energy demand, on-site renewable generation, and net performance, showing that shading negatively impacts PV generation significantly more than it aids in cooling. This research presents a quantitative method for calculating building Shading Rate ( S ) and analyzes S ’s relationship with building Energy Variation Ratio ( EV ). The method enables rapid estimation of shading impacts on BIPV building energy performance, supporting early-stage architectural design. Copyright © 2025. Published by Elsevier B.V.","BIPV; Building energy performance; Shading effect; Solar radiation; Surrounding buildings","Architectural design; Energy efficiency; Energy utilization; Facings; BIPV; Building energy performance; Climatic zone; Computationally efficient; Energy performance; Net energy; Photovoltaics generations; Radiation attenuation; Shading effect; Surrounding buildings; Photovoltaic effects","K. Zhao; College of Civil Engineering and Architecture, Zhejiang University, Hangzhou, 310028, China; email: zhaok@zju.edu.cn","","Elsevier Ltd","03787788","","ENEBD","","English","Energy Build.","Article","Final","","Scopus","2-s2.0-105023701013"
"Zhang W.; Sun Y.; Lin Z.","Zhang, Wenhao (14053194000); Sun, Yimin (57148790400); Lin, Zhenghao (56378550100)","14053194000; 57148790400; 56378550100","Coupled evaluation of the optical-thermal-electrical performance of customized building-integrated photovoltaic components","2024","Renewable Energy","223","","119994","","","13","10.1016/j.renene.2024.119994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184015093&doi=10.1016%2Fj.renene.2024.119994&partnerID=40&md5=10bde252f6061b456a2b1bee162a3eea","School of Architecture, South China University of Technology, Guangzhou, China; State Key Laboratory of Subtropical Building and Urban Science, South China University of Technology, China","Zhang W., School of Architecture, South China University of Technology, Guangzhou, China; Sun Y., School of Architecture, South China University of Technology, Guangzhou, China, State Key Laboratory of Subtropical Building and Urban Science, South China University of Technology, China; Lin Z., School of Architecture, South China University of Technology, Guangzhou, China, State Key Laboratory of Subtropical Building and Urban Science, South China University of Technology, China","The diverse requirements of contemporary buildings for advanced skin systems regarding aesthetics, comfort and energy performance have led to the demand for customized BIPV components. By integrating the spectral transmittance-reflectance and volt-ampere experiments with the energy balance calculation approach, the paper reveals the impacts and mechanisms of five key design parameters on the “optical-thermal-electrical” properties of BIPV components. Geometric transparency degree (GTD) affects the optical properties most significantly, followed by glass and low-E coating types. The cell arrangement and cell-cutting technique affect the least. However, the full-series connection of divided cells can slightly improve the photovoltaic conversion efficiency. Pmaxvnegatively correlates with GTD linearly, while SHGC and VT positively. By applying a hollow layer (85%Ar) and double silver Lowe-ε = 0.04, the heat gain of the cell to the interior can be reduced to 45.3% and 25.1%, respectively. After discussing the recommended BIPV configurations under different climate zones and WWR requirements, we found that, for instance, a hollow-layer BIPV with a GTD lower than 46.0% can replace the traditional double-silver curtain wall in hot, humid climates, while laminated BIPV can only be applied in non-climatic boundaries. A more comprehensive reference value of “optical-thermal-electrical” properties for calculating building energy consumption is provided. © 2024 Elsevier Ltd","Building-integrated photovoltaic; Customized photovoltaic glazing; Energy-saving; Optical-thermal-electrical performance; Power generation; Solar heat gain coefficient","","Y. Sun; School of Architecture, State Key Laboratory of Subtropical Building and Urban Science, South China University of Technology, China; email: arymsun@scut.edu.cn; Z. Lin; School of Architecture, South China University of Technology, Guangzhou, Guangdong, 510630, China; email: linzhenghao@scut.edu.cn","","Elsevier Ltd","09601481","","","","English","Renew. Energy","Article","Final","","Scopus","2-s2.0-85184015093"
"Jiang M.; Araji M.T.","Jiang, Mengzhu (58136469100); Araji, Mohamad T. (23033140700)","58136469100; 23033140700","A Framework for Energy and Thermal Performance Modeling in Net-Zero Urban Clusters","2025","Technology Architecture and Design","9","1","","116","141","0","10.1080/24751448.2025.2475720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007299259&doi=10.1080%2F24751448.2025.2475720&partnerID=40&md5=4264d8365715b9ef6a945a5bf91d0796","Princeton University, United States; University of Waterloo, Canada","Jiang M., Princeton University, United States; Araji M.T., University of Waterloo, Canada","This study presents a data-driven framework for optimizing net-zero building design by integrating urban context, building form, and façade configurations. Using parametric modeling, genetic optimization, and empirical validation, it examines energy performance across the building-height-to-street-width ratio, number of floors, aspect ratio, floor area, window-wall ratio, and photovoltaics’ tilt angle. Results indicate that context compactness increases heating demand by 2.1 kWh/m2 (0.195 kWh/ft2) and reduces cooling demand by 1.8 kWh/m2 (0.167 kWh/ft2) per incremental increase: higher floor area and building height enhanced energy efficiency. Building height marginally influenced heating and cooling for an aspect ratio above 5, peaking at 4. Façade-based production escalated by 10,000 kWh per unit after the aspect ratio exceeded 2. Photovoltaics’ tilt angle significantly impacted consumption and production. © 2025 Association of Collegiate Schools of Architecture.","Building Design; Building Integrated Photovoltaics; Dynamic Shading; Energy Performance; Urban Density","College buildings; Dynamic response; Facades; Model structures; Walls (structural partitions); Aspect-ratio; Building design; Building height; Building integrated photovoltaic; Dynamic shading; Energy performance; Floor areas; Photovoltaics; Tilt angle; Urban density; Architectural design","","","Routledge","24751448","","","","English","Tech. Arch. Des.","Article","Final","","Scopus","2-s2.0-105007299259"
"Lolli N.; Lien A.G.; Rønneseth Ø.","Lolli, Nicola (56395455700); Lien, Anne Gunnarshaug (56047339600); Rønneseth, Øystein (57207848570)","56395455700; 56047339600; 57207848570","Cost optimization of a zero-emission office building","2020","Buildings","10","12","222","1","19","2","10.3390/buildings10120222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097257443&doi=10.3390%2Fbuildings10120222&partnerID=40&md5=488b4304385e699070f5fe18b821eaaa","SINTEF Community, Høgskoleringen 7b, Trondheim, NO-7465, Norway","Lolli N., SINTEF Community, Høgskoleringen 7b, Trondheim, NO-7465, Norway; Lien A.G., SINTEF Community, Høgskoleringen 7b, Trondheim, NO-7465, Norway; Rønneseth Ø., SINTEF Community, Høgskoleringen 7b, Trondheim, NO-7465, Norway","The cost-effectiveness of energy efficiency measures meant to achieve a zero-emission office building is investigated and compared to business as usual energy efficiency measures. The laboratory for zero emission buildings, the ZEB Lab, located in Trondheim, Norway, is an office building designed and built to compensate its lifecycle emissions with the use of a large array of building-integrated photovoltaic panels, pursuing a zero-emissions ambition level. Three design alternatives are investigated by downgrading the building insulation level to the values recommended by the currently enforced Norwegian building code, the byggteknisk forskrift TEK17. A sensitivity analysis of the variation of the installed area of the photovoltaic panels is performed to evaluate if smaller areas give better cost performances. Net present values are calculated by using three scenarios of future increase of electricity price for a time horizon of 20 years. Results show that business as usual solutions give higher net present values. Optimized areas of the photovoltaic panels further increase the net present values of the business as usual solutions in the highest electricity price scenario. The zero-emission ambition level shows a higher net present value than that of the business as usual solutions for a time horizon of at least 36 years. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Building integrated photovoltaics; Byggteknisk forskrift TEK17; Cost optimization; Net present value; Office building; Zero emission building","","N. Lolli; SINTEF Community, Trondheim, Høgskoleringen 7b, NO-7465, Norway; email: nicola.lolli@sintef.no","","MDPI AG","20755309","","","","English","Buildings","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85097257443"
"Yip S.; Athienitis A.K.; Lee B.","Yip, Samson (55907221700); Athienitis, Andreas K. (7003723013); Lee, Bruno (55505346500)","55907221700; 7003723013; 55505346500","Early stage design for an institutional net zero energy archetype building. Part 1: Methodology, form and sensitivity analysis","2021","Solar Energy","224","","","516","530","25","10.1016/j.solener.2021.05.091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109088945&doi=10.1016%2Fj.solener.2021.05.091&partnerID=40&md5=d3f90cd609c7642097ce109d711a5da4","Building, Civil and Environmental Engineering, Concordia University, 1455 de Maisonneuve Boulevard West, Montreal, H3G 1M8, QC, Canada","Yip S., Building, Civil and Environmental Engineering, Concordia University, 1455 de Maisonneuve Boulevard West, Montreal, H3G 1M8, QC, Canada; Athienitis A.K., Building, Civil and Environmental Engineering, Concordia University, 1455 de Maisonneuve Boulevard West, Montreal, H3G 1M8, QC, Canada; Lee B., Building, Civil and Environmental Engineering, Concordia University, 1455 de Maisonneuve Boulevard West, Montreal, H3G 1M8, QC, Canada","This paper is the first of two that examine the influence of building form, including courtyards, on the energy performance of medium-sized institutional solar net zero energy buildings incorporating building-integrated photovoltaic/thermal (BIPV/T) roof systems. The inclusion of BIPV/T at the early design stage along with passive design techniques extends to energy flexibility considerations with a smart grid. A two storey 3 000 m2 medium-sized archetype building was considered. Through simulations, different building plan shapes and BIPV/T roof tilt angles supported by a range of related building enclosure variables such as insulation level and window characteristics were analyzed and compared. The design configurations used BIPV/T heat recovery for winter ventilation air preheating in the Montreal region. In this first paper, the methodology is presented. Then, using annual net energy use intensity as the target, a global sensitivity analysis was performed to rank and quantify the most sensitive design variables at different BIPV/T roof slopes. Out of the nine input variables analyzed, the most influential by rank were the orientation, the window to wall ratio for the south and north façades, and the plan shape, for roof tilt angles of 35°, 40°, and 45°. For a roof tilt angle of 30°, the window to wall ratio of the south façade was the most influential, switching rank with the orientation. Although not an input variable to the sensitivity analysis, this indicates as well the influence of the BIPV/T roof tilt angle. Also, there was a significant interaction effect between the plan shape and orientation, highlighting the utility of analyzing interaction effects at the early design stage and the importance of these two factors in solar-enhanced buildings. At the other end of the spectrum, the window type, the wall and roof insulation level, and the window to wall ratios for the east and west facades were the least significant – at least approximately one order of magnitude less sensitive than the first ranked input. In the second paper, the methodology is applied in a case study for early stage design in which relative comparisons are made considering building form, net-zero energy, and extended to the grid considering load matching and energy flexibility. © 2021","Building form; Building-integrated photovoltaic and thermal (BIPV/T); Early stage design; Net-zero energy building; Sensitivity analysis; Windows","Canada; Montreal; Quebec [Canada]; Architectural design; Energy conservation; Facades; Roofs; Solar power generation; Walls (structural partitions); Waste heat; Zero energy buildings; Building form; Building integrated photovoltaic; Building-integrated photovoltaic and thermal; Early design stages; Early stage designs; Energy flexibility; Thermal; Tilt angle; Window-to-wall ratio; Zero energies; building; detection method; methodology; sensitivity analysis; ventilation; Sensitivity analysis","S. Yip; Building, Civil and Environmental Engineering, Concordia University, Montreal, 1455 de Maisonneuve Boulevard West, H3G 1M8, Canada; email: samson.yip@mail.concordia.ca","","Elsevier Ltd","0038092X","","SRENA","","English","Sol. Energy","Article","Final","","Scopus","2-s2.0-85109088945"
"Al-Shatnawi Z.; Hachem-Vermette C.; Lacasse M.; Ziaeemehr B.","Al-Shatnawi, Zahra (57221483748); Hachem-Vermette, Caroline (56728617600); Lacasse, Michael (7004549995); Ziaeemehr, Bahador (58738910400)","57221483748; 56728617600; 7004549995; 58738910400","Advances in Cold-Climate-Responsive Building Envelope Design: A Comprehensive Review","2024","Buildings","14","11","3486","","","14","10.3390/buildings14113486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210240463&doi=10.3390%2Fbuildings14113486&partnerID=40&md5=4e10aab114d9cd2eac8850428b6f26c9","Department of Building, Civil and Environmental Engineering (BCEE), Concordia University, Montreal, H3G 2W1, QC, Canada; National Research Council Canada, Construction Research Centre, Ottawa, K1A 0R6, ON, Canada","Al-Shatnawi Z., Department of Building, Civil and Environmental Engineering (BCEE), Concordia University, Montreal, H3G 2W1, QC, Canada; Hachem-Vermette C., Department of Building, Civil and Environmental Engineering (BCEE), Concordia University, Montreal, H3G 2W1, QC, Canada; Lacasse M., National Research Council Canada, Construction Research Centre, Ottawa, K1A 0R6, ON, Canada; Ziaeemehr B., Department of Building, Civil and Environmental Engineering (BCEE), Concordia University, Montreal, H3G 2W1, QC, Canada","Extreme low temperatures, heavy snowfall, ice accumulation, limited daylight, and increased energy consumption in cold climates present significant challenges but also offer opportunities for improving building efficiency. Advanced materials and technologies in climate-responsive envelopes can enhance sustainability, reduce carbon footprints and operational costs, and improve thermal comfort under these environmental conditions. This literature review combines theoretical aspects of building performance in cold climates with a summary of current and critical applications in building envelope design, identifying research gaps and proposing future research directions. It has been shown that various BIPV systems require further climate-based studies to optimize solar energy yield. For example, integrating PV layers and PCM within DSFs can reduce cooling loads, but more research is needed on PCM transition temperatures and ventilation strategies in cold climates. A notable research gap exists in building-integrated vegetative systems, particularly regarding soil thickness, irrigation, hygrothermal performance, and snow accumulation. Despite excellent winter performance in buildings incorporating CLT components, they face increased cooling energy consumption and potential overheating in summer. Additionally, the high initial moisture content in CLT raises the risk of mold growth, especially when covered with vapor-tight layers. The design examples in this paper emphasize the need for further investigation to achieve sustainable, low-carbon, energy-efficient envelope designs for cold climates. © 2024 by the authors.","building envelope; building technology; building-integrated photovoltaics (BIPV); building-integrated vegetative systems; cold climate; cross-laminated timber (CLT); energy performance; hygrothermal performance","Snow; Building envelopes; Building integrated; Building integrated photovoltaic; Building technologies; Building-integrated photovoltaic; Building-integrated vegetative system; Colder climate; Cross laminated; Cross-laminated timber; Energy performance; Hygrothermal performance; Laminated timber; Carbon footprint","Z. Al-Shatnawi; Department of Building, Civil and Environmental Engineering (BCEE), Concordia University, Montreal, H3G 2W1, Canada; email: z_alshat@live.concordia.ca","","Multidisciplinary Digital Publishing Institute (MDPI)","20755309","","","","English","Buildings","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85210240463"
"Shayan M.E.; Najafi G.; Ghobadian B.; Gorjian S.; Mazlan M.","Shayan, Mostafa Esmaeili (57194465766); Najafi, Gholamhassan (22938428000); Ghobadian, Barat (22937734400); Gorjian, Shiva (56333505200); Mazlan, Mohamed (56494026700)","57194465766; 22938428000; 22937734400; 56333505200; 56494026700","Sustainable Design of a Near-Zero-Emissions Building Assisted by a Smart Hybrid Renewable Microgrid","2022","International Journal of Renewable Energy Development","11","2","","471","480","19","10.14710/ijred.2022.43838","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126965022&doi=10.14710%2Fijred.2022.43838&partnerID=40&md5=fb52999addb9bdf879b41adee4140a5f","Department of Mechanical and Biosystems Engineering, Tarbiat Modares University (TMU), Tehran, Iran; Advanced Material Research Cluster, Faculty of Bioengineering and Technology, University of Malaysia Kelantan, Kelantan, Jeli, Malaysia","Shayan M.E., Department of Mechanical and Biosystems Engineering, Tarbiat Modares University (TMU), Tehran, Iran; Najafi G., Department of Mechanical and Biosystems Engineering, Tarbiat Modares University (TMU), Tehran, Iran; Ghobadian B., Department of Mechanical and Biosystems Engineering, Tarbiat Modares University (TMU), Tehran, Iran; Gorjian S., Department of Mechanical and Biosystems Engineering, Tarbiat Modares University (TMU), Tehran, Iran; Mazlan M., Advanced Material Research Cluster, Faculty of Bioengineering and Technology, University of Malaysia Kelantan, Kelantan, Jeli, Malaysia","Renewable energy regulations place a premium on both the use of renewable energy sources and energy efficiency improvements. One of the growing milestones in building construction is the invention of green cottages. Building Integrated Photovoltaic (BIPV) technologies have been proved to aid buildings that partially meet their energy demand as sustainable solar energy generating technologies throughout the previous decade. Curved facades provide a challenge for typical photovoltaics. This study designed, produced, and assessed elastic solar panels supported by flexible photovoltaic systems (FPVS) on a 1 m2 layer. The LabVIEW program recognizes and transmits online data on warm and dry climates. The fill factor was 88% and 84%, respectively, when installed on the silo and biogas surfaces. The annual energy output was 810 kWh on a flat surface, 960 kWh on a cylindrical surface, and 1000 kWh on a hemisphere surface. Economic analysis indicates that the NPV at Flat surface is $ 697.52, with an IRR of 34.81% and an 8.5-year capital return period. Cylindrical surfaces and hemispheres both get a $ 955.18 increase. For cylindrical and hemispheric buildings, the investment yield was 39.29% and 40.47%, respectively. A 20% increase in fixed investment boosted the IRR by 21.3% in the flat system. While the cylindrical system had a 25.59% raise, the hemisphere saw a 24.58% gain. © 2022. The Authors. Published by CBIORE.","Building Integrated Photovoltaic; Flexible Photovoltaic Systems; Green Cottages; LabVIEW; Sustainable","Buildings; Economic analysis; Energy efficiency; Energy policy; Solar energy; Solar panels; Solar power generation; Sustainable development; Building integrated photovoltaic; Cylindrical surface; Flatter surfaces; Flexible photovoltaic system; Flexible photovoltaics; Green cottage; LabVIEW; Near-zero emissions; Photovoltaic systems; Sustainable; Investments","G. Najafi; Department of Mechanical and Biosystems Engineering, Tarbiat Modares University (TMU), Tehran, Iran; email: g.najafi@modares.ac.ir; M. Mazlan; Advanced Material Research Cluster, Faculty of Bioengineering and Technology, University of Malaysia Kelantan, Jeli, Kelantan, Malaysia; email: mazlan.m@umk.edu.my","","Diponegoro university Indonesia - Center of Biomass and Renewable Energy (CBIORE)","22524940","","","","English","Internat. J. Rene. Ener. Devel.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85126965022"
"Wang W.; Xiang C.","Wang, Wanting (57208300921); Xiang, Changying (57211778328)","57208300921; 57211778328","Exploring the impacts of semi-transparent photovoltaic glazing on human visual and non-visual comfort: An experimental case study in Hong Kong","2025","Journal of Building Engineering","103","","112184","","","4","10.1016/j.jobe.2025.112184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219002635&doi=10.1016%2Fj.jobe.2025.112184&partnerID=40&md5=d6781cb1152aad0677d406269188cdd4","Division of Integrative Systems and Design, Hong Kong University of Science and Technology, Hong Kong","Wang W., Division of Integrative Systems and Design, Hong Kong University of Science and Technology, Hong Kong; Xiang C., Division of Integrative Systems and Design, Hong Kong University of Science and Technology, Hong Kong","Semi-transparent photovoltaic (STPV) windows have promising potential for building carbon reduction. Most prior STPV studies primarily focused on energy performance. However, besides energy advancement, a healthy and comfortable indoor environment also has a high priority for buildings. STPV may influence indoor users' visual and non-visual perceptions since it absorbs certain solar irradiance and filters the passed-through daylight. There is an urgent need to explore their impacts on the occupants' visual and non-visual comfort via advanced psychophysical methods. This study conducted a visual and non-visual evaluation using a residential mockup installed with hollow semi-transparent photovoltaic (HSTPV) windows and a reference room with single clear glazing (SG) windows. The energy and optical performance of HSTPV windows was measured onsite. Thirty-six volunteers were invited to visit the two rooms, participating in two NCS colour tasks and a subjective questionnaire. Also, equivalent melanopic lux (EML) levels, electrodermal activity (EDA), and the heart rate of participants were assessed. In addition, a simulation campaign was conducted to provide general suggestions for HSTPV applications. The results indicated that: (1) both rooms meet the WELL standard's residential circadian daylight requirement; (2) consistent with device measurement and questionnaire feedback, the high accuracy of NCS colour tests showed that the HSTPV windows could provide as good colour rendering performance as SG windows; (3) compared to SG windows, HSTPV windows could provide users with more uniform perceptual experience on interior daylight distribution, and less glare issues; (4) occupants in rooms with HSTPV windows reported a neutral level of calmness or tension and moderate arousal status. 5) to apply HSTPV windows in high-density contexts, a 35%–40 % WWR was suggested for south-oriented rooms, while the 30–35 % WWR was suggested for west and east-oriented rooms. © The Authors","Building integrated photovoltaic (BIPV); Colour rendering performance; Human-centric design; NCS colour; Semi-transparent photovoltaic (STPV) window","Concretes; Daylighting; Glare; Glazes; Laser beams; Mortar; Windows; Building integrated photovoltaic; Color rendering performance; Colour rendering; Human-centric designs; NCS color; Non visuals; Rendering performance; Semi-transparent photovoltaic; Semi-transparent photovoltaic  window; Rendering (computer graphics)","C. Xiang; Division of Integrative Systems and Design, Hong Kong University of Science and Technology, Hong Kong; email: changyingx@ust.hk","","Elsevier Ltd","23527102","","","","English","J. Build. Eng.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85219002635"
"Shanmugavalli K.R.; Vedamuthu R.","Shanmugavalli, K.R. (57209122264); Vedamuthu, Ranee (37036484300)","57209122264; 37036484300","Solar energy and its estimated contribution to the energy demand of residential apartments in India through their envelopes: a technical and commercial approach","2023","Energy Sources, Part A: Recovery, Utilization and Environmental Effects","45","2","","4398","4413","5","10.1080/15567036.2020.1859009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099797658&doi=10.1080%2F15567036.2020.1859009&partnerID=40&md5=270bd109c694dd141b3aa81db5948f1a","Department of Architecture, School of Architecture and Planning, Anna University, Chennai, India","Shanmugavalli K.R., Department of Architecture, School of Architecture and Planning, Anna University, Chennai, India; Vedamuthu R., Department of Architecture, School of Architecture and Planning, Anna University, Chennai, India","On-site deployment of renewable energy capacities for buildings in the cities is a prerequisite for most of the building energy codes in India. As residential energy consumption increases at a rapid rate due to intensive electrification and increased affordability, it is appropriate to generate it on-site to decongest the grid. Solar PV is viewed as a clean option in India with average peak sunshine of 4–6 kWh/day (1kWh = 3.6 MJ). In urban areas, the envelopes of dense residential towers for both rooftop and façade are seen as viable options to generate electricity. This research explores the solar potential of residential envelopes to meet energy demand. Solar energy potential of residential envelopes was mapped on the roofs and façades through color solar insolation mapping in DIVA–for–Rhino, and the amount of solar PV energy that could be generated was calculated. This amount was matched with the energy demand of residential blocks obtained from a survey conducted by a published source. By investigating the techno-commercial potential of residential blocks in representative cities in each of India’s four climate zones, it was found that rooftop photovoltaics RTPV would contribute up to 65–100% of common facilities (lifts and lights) consumption for Ground+20 floors. Facade offset was above 100% for all the cities for south- and west-facing façades for Ground+20 floors for common facilities. The payback period for common services’ energy consumption was economically attractive with around 6–7 years for rooftop and façade PV, as they have higher electricity tariffs than the individual household consumption tariff rate. The novelty of this research was in identifying the façade PV potential for multistory residential buildings for each of India’s climates. The study’s findings illustrate that rooftop and building integrated photovoltaics enable residential buildings to move toward self-reliance with respect to their energy needs, thereby contributing to decreased carbon emissions. Green building consultants, developers, and consumers will view this research as a viable means to reduce carbon footprints of residential buildings. © 2020 Taylor & Francis Group, LLC.","Decentralized Photovoltaics PV to meet the residential energy demand; RTPV-Rooftop Photovoltaics and BIPV –Building integrated Photovoltaics potential on residential envelopes. PV for high-rise apartments in urban areas","Apartment houses; Carbon footprint; Energy management; Energy utilization; Investments; Solar energy; Building integrated photovoltaic; Decentralised; Decentralized photovoltaic PV to meet the residential energy demand; High rise; Photovoltaic potentials; Photovoltaics; PV for high-rise apartment in urban area; RTPV-rooftop photovoltaic and BIPV –building integrated photovoltaic potential on residential envelope.; Urban areas; Floors","K.R. Shanmugavalli; Department of Architecture, School of Architecture and Planning, Anna University, Chennai, 600 025, India; email: vallipre@gmail.com","","Taylor and Francis Ltd.","15567036","","","","English","Energy Sources Recovery Util. Environ. Eff.","Article","Final","","Scopus","2-s2.0-85099797658"
"Hachem-Vermette C.; MacGregor A.","Hachem-Vermette, Caroline (56728617600); MacGregor, Anders (57194782205)","56728617600; 57194782205","Energy optimized envelope for cold climate indoor agricultural growing center","2017","Buildings","7","3","59","","","12","10.3390/buildings7030059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022185100&doi=10.3390%2Fbuildings7030059&partnerID=40&md5=79e8d08402ae0f3630ed3c5bcc19d9d7","Department of Environmental Design, University of Calgary, Calgary, T2N 1N4, AB, Canada","Hachem-Vermette C., Department of Environmental Design, University of Calgary, Calgary, T2N 1N4, AB, Canada; MacGregor A., Department of Environmental Design, University of Calgary, Calgary, T2N 1N4, AB, Canada","This paper presents a study of the development of building envelope design for improved energy performance of a controlled indoor agricultural growing center in a cold climate zone (Canada, 54° N). A parametric study is applied to analyze the effects of envelope parameters on the building energy loads for heating, cooling and lighting, required for maintaining growing requirement as obtained in the literature. A base case building of rectangular layout, incorporating conventionally applied insulation and glazing components, is initially analyzed, employing the EnergyPlus simulation program. Insulation and glazing parameters are then modified to minimize energy loads under assumed minimal lighting requirement. This enhanced design forms a base case for analyzing effects of additional design parameters-solar radiation control, air infiltration rate, sky-lighting and the addition of phase change materials-to obtain an enhanced design that minimizes energy loads. A second stage of the investigation applies a high lighting level to the enhanced design and modifies the design parameters to improve performance. A final part of the study is an investigation of the mechanical systems and renewable energy generation. Through the enhancement of building envelope components and day-lighting design, combined heating and cooling load of the low level lighting configuration is reduced by 65% and lighting load by 10%, relative to the base case design. Employing building integrated PV (BIPV) system, this optimized model can achieve energy positive status. Solid Oxide Fuel Cells (SOFC), are discussed, as potential means to offset increased energy consumption associated with the high-level lighting model. © 2017 by the authors.","Building envelope design; Building integrated PV; Energy performance; Indoor agricultural growing center","","C. Hachem-Vermette; Department of Environmental Design, University of Calgary, Calgary, T2N 1N4, Canada; email: caroline.hachem@ucalgary.ca","","MDPI AG","20755309","","","","English","Buildings","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85022185100"
